roll_number,student_name,department,semester,attendance_percentage,classes_attended,classes_missed,absence_streak,late_count,attendance_trend,quiz_average,assignment_average,previous_exam_score,learning_minutes,course_completion,recent_score_trend,final_exam_score,risk_label,engagement_level
S101,Rahul Sharma,Computer Science & Engineering,6,55.6,25,20,7,5,-0.512,50.4,60.6,48.3,254.6,49.7,-0.189,55.1,HIGH,LOW
S102,Aditi Patil,Computer Science & Engineering,6,70.7,32,13,1,4,0.066,62.2,78.6,72.4,420.0,59.5,0.045,72.0,MEDIUM,MEDIUM
S103,Sneha Iyer,Computer Science & Engineering,6,77.2,35,10,1,1,0.01,67.8,63.6,67.8,271.8,77.8,-0.142,66.8,MEDIUM,MEDIUM
S104,Rohan Mehta,Computer Science & Engineering,6,90.4,41,4,1,0,0.431,87.9,75.3,84.4,483.0,86.7,0.117,84.3,LOW,HIGH
S105,Varun Kulkarni,Computer Science & Engineering,6,68.0,31,14,3,2,0.023,66.4,78.3,68.4,363.6,78.5,0.082,66.3,MEDIUM,MEDIUM
S106,Riya Joshi,Computer Science & Engineering,6,83.3,37,8,1,1,0.052,76.3,90.0,80.8,438.8,88.4,0.203,81.1,LOW,HIGH
S107,Pooja Mehta,Computer Science & Engineering,6,83.4,38,7,1,1,0.379,81.0,81.6,79.7,573.6,88.8,0.126,80.9,LOW,HIGH
S108,Kavita Iyer,Computer Science & Engineering,6,59.6,27,18,6,2,-0.371,64.7,54.1,48.1,156.9,43.6,-0.175,54.7,HIGH,LOW
S109,Aakash Patil,Computer Science & Engineering,6,57.1,26,19,2,2,-0.253,58.7,61.4,67.2,126.9,63.4,-0.351,60.9,HIGH,LOW
S110,Nikhil Kumar,Computer Science & Engineering,6,52.7,24,21,2,2,-0.41,47.6,67.9,70.0,160.1,41.8,-0.444,56.9,HIGH,LOW
S111,Harsh Nair,Computer Science & Engineering,6,99.0,45,0,1,2,0.428,84.5,89.1,88.5,516.5,94.2,0.251,91.7,LOW,HIGH
S112,Aditi Sharma,Computer Science & Engineering,6,86.6,39,6,0,0,0.434,80.8,88.2,88.2,452.1,84.3,0.294,84.4,LOW,HIGH
S113,Amit Kumar,Computer Science & Engineering,6,89.8,40,5,1,1,0.219,87.8,98.2,93.8,443.1,90.3,0.138,93.1,LOW,HIGH
S114,Divya Bansal,Computer Science & Engineering,6,89.1,40,5,0,2,0.35,81.3,88.6,82.1,535.9,84.9,0.363,88.1,LOW,HIGH
S115,Isha Verma,Computer Science & Engineering,6,73.1,33,12,3,3,0.019,64.3,63.4,69.9,410.7,73.2,0.17,70.2,MEDIUM,MEDIUM
S116,Karthik Gupta,Computer Science & Engineering,6,90.5,41,4,1,1,0.209,73.7,87.5,89.4,494.2,86.1,0.368,86.1,LOW,HIGH
S117,Shreya Chopra,Computer Science & Engineering,6,94.6,43,2,0,1,0.332,77.8,82.2,73.8,384.8,85.5,0.192,86.8,LOW,HIGH
S118,Harsh Kulkarni,Computer Science & Engineering,6,90.4,41,4,1,2,0.283,83.3,89.4,86.8,455.9,89.3,0.076,87.2,LOW,HIGH
S119,Amit Chauhan,Computer Science & Engineering,6,88.1,40,5,0,1,0.168,87.2,95.6,77.1,471.4,84.4,0.087,85.1,LOW,HIGH
S120,Divya Iyer,Computer Science & Engineering,6,85.5,38,7,0,1,0.156,75.4,82.4,78.5,477.0,84.1,0.261,77.5,LOW,HIGH
S121,Ananya Kulkarni,Computer Science & Engineering,6,73.6,33,12,2,2,0.106,71.9,79.1,64.7,234.3,80.8,0.17,71.8,MEDIUM,MEDIUM
S122,Vikram Patel,Computer Science & Engineering,6,89.4,40,5,0,0,0.055,85.4,84.1,93.5,493.5,89.0,0.304,89.4,LOW,HIGH
S123,Vikram Reddy,Computer Science & Engineering,6,81.2,37,8,0,0,0.432,79.9,78.8,85.7,543.6,97.2,0.175,82.3,LOW,HIGH
S124,Rohan Deshmukh,Computer Science & Engineering,6,84.3,38,7,1,0,0.271,90.7,88.0,74.9,463.9,96.9,0.125,86.8,LOW,HIGH
S125,Gaurav Patel,Computer Science & Engineering,6,45.0,20,25,5,3,-0.162,63.6,57.9,60.4,168.7,28.4,-0.058,49.1,HIGH,LOW
